"ALIANZA PROGRESISTAS","507","IGUALDAD Y DECENCIA","BUENOS AIRES","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","GOLDMANN, LUIS BERNARDO","2"
"GEN","69","F - UNIDAD","LA PAMPA","SENADOR NACIONAL TITULAR","FRITZ, ANA LIA","2"
"COMUNISTA","12","","LA RIOJA","DIPUTADO NACIONAL TITULAR","DE LEONARDI, ROGELIO","1"
"COMUNISTA","12","","LA RIOJA","DIPUTADO NACIONAL TITULAR","MARTINEZ, BEATRIZ DEL VALLE","2"
"COMUNISTA","12","","LA RIOJA","DIPUTADO NACIONAL TITULAR","GALVAN, HUGO NICOLAS","3"
"COMUNISTA","12","","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","REINOSO, MARIA ELISA","1"
"COMUNISTA","12","","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","GONZALEZ, NOELIA LIDELVA","2"
"COMUNISTA","12","","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","MARCIAL, CARLOS FRANCISCO","3"
"COMUNISTA","12","","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","SALAYA, JOSE MARIO","1"
"COMUNISTA","12","","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","ABALLAY, TERESA HILDA","1"
"COMUNISTA","12","","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","FARIA, DARIO PABLO","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","LA RIOJA","DIPUTADO NACIONAL TITULAR","GIROMINI, JOSE GABRIEL","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","LA RIOJA","DIPUTADO NACIONAL TITULAR","TINEO SORIA, JOSEFINA","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","LA RIOJA","DIPUTADO NACIONAL TITULAR","RIZO, CIELO CECILIA","3"
"MOVIMIENTO AL SOCIALISMO","13","SoB","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","RECABARREN, ORLANDO NICOLAS","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","CORDOBA, MARIANA SOLEDAD","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","SANCHEZ, SILVIA LILIANA","3"
