"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL TITULAR","LECHMAN, JORGE ANDRES 'TONY'","1"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL TITULAR","BOCKELMANN HUEICHA, MARIA HORTENCIA","2"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL TITULAR","OYARZUN SANTANA, FERNANDO DARIO","3"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL SUPLENTE","ROMERO, CARLOS","1"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL SUPLENTE","CEBALLOS, MIRIAM SUSANA DEL VALLE","2"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL SUPLENTE","FERNANDEZ PEZZANO, GASTON DIEGO","3"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","RECCHIA, MIGUEL ANGEL","1"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","VARGAS, MARIA OLINDA","1"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","SALGADO, LAURA MARGARITA","2"
"POPULAR","174","A - ACCION POPULAR","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL TITULAR","SALMAN, ELSA ESTELA","1"
"POPULAR","174","A - ACCION POPULAR","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL TITULAR","MENDEZ DOMINGUEZ, LUIS ENRIQUE","2"
"POPULAR","174","A - ACCION POPULAR","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL TITULAR","RIVERO, PATRICIA NOEMI","3"
"POPULAR","174","A - ACCION POPULAR","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL SUPLENTE","FLORES, JUAN FRANCISCO","1"
"POPULAR","174","A - ACCION POPULAR","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL SUPLENTE","MUNCH, GISELLE VIVIAN","2"
"POPULAR","174","A - ACCION POPULAR","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL SUPLENTE","MENCHACA, RICARDO GERMAN","3"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL TITULAR","BELOUS, NELIDA","1"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL TITULAR","CHIARI, MARIO EUGENIO","2"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL TITULAR","MONTELONGO, JOSE ROBERTO","3"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL SUPLENTE","AMATTA, LUIS JOAQUIN","1"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL SUPLENTE","PRINOS, YAMILA GRISELDA","2"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL SUPLENTE","GUTIERREZ, ANA MARIA","3"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","BETTS, ALEJANDRO JACOBO","1"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","MUÑOZ, HORACIO DANIEL","1"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","FERRERO, NANCI BEATRIZ","2"
"FRENTE RENOVADOR AUTENTICO","202","W - AZUL","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL TITULAR","SCIUTTO, RUBEN DARIO","1"
"FRENTE RENOVADOR AUTENTICO","202","W - AZUL","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL TITULAR","ARRUA, VIVIANA LEONOR","2"
"FRENTE RENOVADOR AUTENTICO","202","W - AZUL","TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR","DIPUTADO NACIONAL TITULAR","GARCIA MORENO, DAVIS DANIEL","3"
